Dipole,P_V_oc(uW),P_Vin_oc(uW),P_in(uW),P_L(uW)
0,[998562.3498028],[-0.08074711],[998562.26905569],[3.52535636e-15]
1,[0.],[10.64181213],[5.31547397],[5.32633816]
2,[0.],[0.67869392],[0.67869392],[3.96938349e-17]
3,[0.],[0.18038044],[0.18038044],[-3.36855458e-18]
4,[0.],[0.56467415],[0.56467415],[5.31592249e-18]
